year mo dy flow_cfs
1928 07 01 11900
1928 07 02 10400
1928 07 03 9150
1928 07 04 8850
1928 07 05 8850
1928 07 06 8260
1928 07 07 7680
1928 07 08 6830
1928 07 09 6550
1928 07 10 6280
1928 07 11 6010
1928 07 12 5640
1928 07 13 5490
1928 07 14 5230
1928 07 15 4980
1928 07 16 4860
1928 07 17 5360
1928 07 18 5100
1928 07 19 4980
1928 07 20 4600
1928 07 21 4120
1928 07 22 3880
1928 07 23 3770
1928 07 24 3660
1928 07 25 3430
1928 07 26 3110
1928 07 27 3010
1928 07 28 2910
1928 07 29 2820
1928 07 30 2720
1928 07 31 2530
1928 08 01 2350
1928 08 02 2350
1928 08 03 2350
1928 08 04 2180
1928 08 05 2060
1928 08 06 2010
1928 08 07 1910
1928 08 08 1850
1928 08 09 1740
1928 08 10 1670
1928 08 11 1640
1928 08 12 1540
1928 08 13 1480
1928 08 14 1440
1928 08 15 1420
1928 08 16 1320
1928 08 17 1240
1928 08 18 1190
1928 08 19 1170
1928 08 20 1140
1928 08 21 1120
1928 08 22 1080
1928 08 23 1040
1928 08 24 1060
1928 08 25 1070
1928 08 26 1120
1928 08 27 1150
1928 08 28 1170
1928 08 29 1130
1928 08 30 1100
1928 08 31 1000
1928 09 01 965
1928 09 02 943
1928 09 03 900
1928 09 04 890
1928 09 05 890
1928 09 06 860
1928 09 07 820
1928 09 08 800
1928 09 09 800
1928 09 10 791
1928 09 11 782
1928 09 12 772
1928 09 13 753
1928 09 14 744
1928 09 15 706
1928 09 16 681
1928 09 17 664
1928 09 18 616
1928 09 19 609
1928 09 20 609
1928 09 21 595
1928 09 22 588
1928 09 23 574
1928 09 24 574
1928 09 25 581
1928 09 26 567
1928 09 27 588
1928 09 28 595
1928 09 29 602
1928 09 30 602
1928 10 01 614
1928 10 02 684
1928 10 03 690
1928 10 04 684
1928 10 05 690
1928 10 06 734
1928 10 07 830
1928 10 08 976
1928 10 09 888
1928 10 10 1040
1928 10 11 1170
1928 10 12 1120
1928 10 13 1040
1928 10 14 973
1928 10 15 973
1928 10 16 982
1928 10 17 992
1928 10 18 1000
1928 10 19 1010
1928 10 20 1020
1928 10 21 1030
1928 10 22 1040
1928 10 23 1050
1928 10 24 1010
1928 10 25 970
1928 10 26 940
1928 10 27 907
1928 10 28 864
1928 10 29 828
1928 10 30 821
1928 10 31 794
1928 11 01 702
1928 11 02 666
1928 11 03 642
1928 11 04 690
