year mo dy flow_mmd
1928 07 01 6.8247
1928 07 02 5.96445
1928 07 03 5.24756
1928 07 04 5.07551
1928 07 05 5.07551
1928 07 06 4.73715
1928 07 07 4.40451
1928 07 08 3.91703
1928 07 09 3.75645
1928 07 10 3.60161
1928 07 11 3.44676
1928 07 12 3.23456
1928 07 13 3.14854
1928 07 14 2.99943
1928 07 15 2.85605
1928 07 16 2.78723
1928 07 17 3.07398
1928 07 18 2.92487
1928 07 19 2.85605
1928 07 20 2.63812
1928 07 21 2.36284
1928 07 22 2.2252
1928 07 23 2.16211
1928 07 24 2.09903
1928 07 25 1.96712
1928 07 26 1.7836
1928 07 27 1.72625
1928 07 28 1.6689
1928 07 29 1.61728
1928 07 30 1.55993
1928 07 31 1.45097
1928 08 01 1.34774
1928 08 02 1.34774
1928 08 03 1.34774
1928 08 04 1.25024
1928 08 05 1.18142
1928 08 06 1.15274
1928 08 07 1.09539
1928 08 08 1.06098
1928 08 09 0.997898
1928 08 10 0.957752
1928 08 11 0.940547
1928 08 12 0.883197
1928 08 13 0.848786
1928 08 14 0.825846
1928 08 15 0.814376
1928 08 16 0.757026
1928 08 17 0.711145
1928 08 18 0.68247
1928 08 19 0.671
1928 08 20 0.653795
1928 08 21 0.642325
1928 08 22 0.619385
1928 08 23 0.596445
1928 08 24 0.607915
1928 08 25 0.61365
1928 08 26 0.642325
1928 08 27 0.65953
1928 08 28 0.671
1928 08 29 0.64806
1928 08 30 0.630855
1928 08 31 0.573504
1928 09 01 0.553432
1928 09 02 0.540815
1928 09 03 0.516154
1928 09 04 0.510419
1928 09 05 0.510419
1928 09 06 0.493214
1928 09 07 0.470274
1928 09 08 0.458803
1928 09 09 0.458803
1928 09 10 0.453642
1928 09 11 0.44848
1928 09 12 0.442745
1928 09 13 0.431849
1928 09 14 0.426687
1928 09 15 0.404894
1928 09 16 0.390556
1928 09 17 0.380807
1928 09 18 0.353279
1928 09 19 0.349264
1928 09 20 0.349264
1928 09 21 0.341235
1928 09 22 0.337221
1928 09 23 0.329192
1928 09 24 0.329192
1928 09 25 0.333206
1928 09 26 0.325177
1928 09 27 0.337221
1928 09 28 0.341235
1928 09 29 0.34525
1928 09 30 0.34525
1928 10 01 0.352132
1928 10 02 0.392277
1928 10 03 0.395718
1928 10 04 0.392277
1928 10 05 0.395718
1928 10 06 0.420952
1928 10 07 0.476009
1928 10 08 0.55974
1928 10 09 0.509272
1928 10 10 0.596445
1928 10 11 0.671
1928 10 12 0.642325
1928 10 13 0.596445
1928 10 14 0.55802
1928 10 15 0.55802
1928 10 16 0.563181
1928 10 17 0.568916
1928 10 18 0.573504
1928 10 19 0.579239
1928 10 20 0.584974
1928 10 21 0.59071
1928 10 22 0.596445
1928 10 23 0.60218
1928 10 24 0.579239
1928 10 25 0.556299
1928 10 26 0.539094
1928 10 27 0.520168
1928 10 28 0.495508
1928 10 29 0.474862
1928 10 30 0.470847
1928 10 31 0.455362
1928 11 01 0.4026
1928 11 02 0.381954
1928 11 03 0.36819
1928 11 04 0.395718
1928 11 05 0.399159
1928 11 06 0.385395
1928 11 07 0.371631
1928 11 08 0.364749
1928 11 09 0.4026
1928 11 10 0.579239
1928 11 11 0.62512
1928 11 12 0.55802
1928 11 13 0.51558
1928 11 14 0.495508
1928 11 15 0.470847
1928 11 16 0.463392
1928 11 17 0.439878
1928 11 18 0.419805
1928 11 19 0.395718
1928 11 20 0.385395
1928 11 21 0.395718
1928 11 22 0.399159
1928 11 23 0.4026
1928 11 24 0.395718
1928 11 25 0.378513
1928 11 26 0.388836
1928 11 27 0.4026
1928 11 28 0.392277
1928 11 29 0.378513
1928 11 30 0.375072
1928 12 01 0.381954
1928 12 02 0.28962
1928 12 03 0.28962
1928 12 04 0.28962
1928 12 05 0.28962
1928 12 06 0.28962
1928 12 07 0.28962
1928 12 08 0.28962
1928 12 09 0.28962
1928 12 10 0.28962
1928 12 11 0.28962
1928 12 12 0.28962
1928 12 13 0.28962
1928 12 14 0.28962
